Repo Id,Commit Id,Date,Message
186462080,5afcc31b34c46987f114ee0b79004ac2b8889040,2019-05-13T17:05:17Z,Add capstone notebook
186462080,e6a75ec3ea0807a09b157dbe8e0df399cb6a7986,2019-05-13T17:00:16Z,Initial commit
149577869,d194c1f543a8241c3a7326edd3b61e613e683f6f,2018-09-24T07:26:43Z,Add article link
149577869,6a8484e96d07d8ef4fa43cec66532637d24a512a,2018-09-24T07:23:26Z,Update readme.md
149577869,39414541d01b7a40bc946a56b357cf5cb8ddfd34,2018-09-21T05:15:11Z,Show sample of dataset
149577869,565aec4a7eab41ff5fff8a31f1adb015f0d7b7cb,2018-09-21T03:59:35Z,Increase channel list
149577869,40a9f6d7ab38d582088365452cb394df65970026,2018-09-20T10:16:25Z,Remove extra import
149577869,a1e4b43fb5900d6c449d49d49d3248be238a889e,2018-09-20T08:46:57Z,Notebook to create dataset
149577869,2c50f0664208a4242bfa89526fef10c5f948aceb,2018-09-20T08:36:59Z,Update README.md
149577869,78121f7d62673139f9bd70ec815bf48a304fdbac,2018-09-20T08:36:39Z,Initial commit
173539133,4da9aaa3093c703c99fb7573fab15a352bdd37c9,2019-03-04T07:58:43Z,Merge branch 'master' of https://github.com/kb22/Create-Face-Data-from-Images
173539133,402830c6c03df1711c2341b0345747a40fc007ae,2019-03-04T07:58:23Z,Add check for image file extensions
173539133,9d0d8770c0305d3c4f35e661af988ab51f23ff5a,2019-03-03T12:27:57Z,Update README.md
173539133,934b10d6107a00452e3a787c3e371584f36993cf,2019-03-03T11:35:28Z,Add requirements.txt
173539133,ffc760bd01c1a8195dd01ff974c0e1e448dbb097,2019-03-03T11:26:17Z,Create two files to generate data
173539133,6ac20f88816e527f9fe228229f75bd67d959ca72,2019-03-03T06:24:15Z,Initial commit
183209160,02a50d538754fc63302af0248b1be955c5377f1a,2019-06-01T10:29:30Z,Work on Mega Case study (Using SOM and ANN)
183209160,ca1f96e5eb6319107100383a1e1e040540d53eb5,2019-05-31T10:13:37Z,Update requirements file
183209160,322838e2b6289b196333c8b058562d0a3265b781,2019-05-31T10:12:13Z,Add code for Self Organising Maps
183209160,9e4201990c46c68ea10bfc2648a4124c830a3f34,2019-05-18T09:49:22Z,Build LSTM model to predict stock prices
183209160,da0375b0708af6cfc8ac21e32a32f8137166d035,2019-05-17T06:52:00Z,Start of RNN notebook
183209160,7246703f4fd98fc8c85cb078a968088eab756b4c,2019-05-17T06:51:44Z,Updated CNN code
183209160,3145469baf2fd9d64f924e7c8ee3e5674844a9cd,2019-05-10T13:25:31Z,Add updated model with high accuracy
183209160,2b06b3896a34304c25625600cb5cde428bc36951,2019-05-09T06:33:01Z,Adding a more accurate model
183209160,cc28d14bd4a310cab479760d9ecf4107dd9616c5,2019-05-09T06:13:09Z,Add improvement to CNN model
183209160,f3234f312981fa15a11ed10559f29b26f9015732,2019-05-08T19:25:32Z,Add model evaluation
183209160,8c17cbaa62c336dac0ec5fb5c416baa0580b4fe2,2019-05-08T18:51:22Z,Build CNN Model
183209160,113c462898b91ef1747736560107f70007492f3e,2019-05-06T11:20:52Z,Begin CNN model creation
183209160,fb81b677ace71dbf1cba135e853d6c760ae8dab3,2019-05-03T09:55:28Z,Add complete code for ANN with tuning
183209160,4ccdb5dfe73abec38dfc391015884e1527283fa6,2019-04-30T20:08:12Z,Add ANN code with homework solution
183209160,e44eed79aab39a57108972b4f1f02670baee5c94,2019-04-25T07:42:29Z,Add Jupyter notebook for ANN
183209160,81e44b9bb24a5f1d9a1fd88310c9e6f1c9151b2d,2019-04-25T07:42:12Z,Add Python requirements file
183209160,890978ca77f36480073dedbddfea4c8491c7cabe,2019-04-24T10:48:10Z,Initial commit
176952555,43eb873511315efac36515d90e8d37a851a26682,2019-05-25T00:46:58Z,Update dependencies
176952555,80ccf6d8531814241995f150092127fd76e5748c,2019-03-26T03:08:11Z,Update Readme with instructions on usage
176952555,1664142ae82b69b1591237ab2460d9a3ef0bd822,2019-03-26T03:03:37Z,Delete predictor-service.py
176952555,e4fa9fcaad9d7c11939a1b54f7d9057c58ce8072,2019-03-23T19:25:03Z,Add a prediction service using Flask and Flask-restplus
176952555,e9c89a8502a4b38e690500a5c0c81cffdb04d91c,2019-03-23T18:31:40Z,Add code to save the model
176952555,25100227aa59ade1398db9af1a2b1401cbe1ec9d,2019-03-22T17:44:31Z,Add .gitignore file
176952555,cf3be534c5f4f73e39347441c1529e604c093968,2019-03-22T17:44:23Z,Update notebook with Parameter tuning
176952555,274af6ea4935867addefc31fe46a928d64608f64,2019-03-21T16:47:51Z,Add dataset as data.zip
176952555,e61642e10e885b2e84e6e5821ccf52a3894c9e06,2019-03-21T16:43:23Z,"Merge pull request #1 from kb22/classification

Classification"
176952555,b5ef19a11ff30c980ac15dc51b74ddea35a8b9c2,2019-03-21T16:42:25Z,Include requirements.txt
176952555,0552972964f9e9152a14189708bb6babc1bc032f,2019-03-21T16:32:26Z,"Load dataset, analyse it and then predict results"
176952555,f07fb41eaa595b97fc27b91a0c95ae4363166c5f,2019-03-21T13:41:52Z,Initial commit
173311184,19e25fd582d1576a39b209ee5ce167d630f7b020,2019-03-02T19:32:02Z,Add detection steps for image and video
173311184,a740fdbcc4ade5cdefb809231205a0b0baeb3858,2019-03-02T17:08:57Z,Update setup steps
173311184,a46bf791542806b9bb55b11b9e1b69436ba1a517,2019-03-02T17:07:31Z,Merge branch 'master' of https://github.com/kb22/Face-Detection-using-OpenCV
173311184,c328022944a0b0d3a7643cd6cd8a0c329c188122,2019-03-02T17:07:09Z,Create separate folders for video and image classifiers
173311184,1e02b3ae96c501eb9cff0a316a8eb8a092a399cf,2019-03-02T14:00:39Z,Add steps to run
173311184,3eb260307b1f861b9d98f7bf9805c0161cc39694,2019-03-02T13:52:24Z,Add requirements and Pipfile
173311184,d557898b8177389cb174aba4534c6729e7f70fe1,2019-03-02T12:38:47Z,Add code to use model and show box around face
173311184,5134f903c91432f534f75e5c912cba39d3ee608e,2019-03-01T14:00:05Z,Initial commit
192858007,69e25f3989d327974e40525fe16082d88aa698e3,2019-06-22T07:43:38Z,Retrieve more than 30+ repos information
192858007,c3a09a4dc2211c395be1b2873e2f90ff986273a4,2019-06-21T13:36:52Z,Update data collection notebook
192858007,e0a2d42ca367806e5178e4f07e6cf98c055d7f19,2019-06-21T10:20:48Z,Update git ignore for python environment
192858007,1adea58db0a3a257160a3ca419a9a411b08af7bb,2019-06-21T10:18:22Z,Add credentials json file
192858007,6f550a958fbb7729ef9091dcf81e2a7cb6a5dde6,2019-06-21T10:14:46Z,Add the repos and commits data files
192858007,bcf6105ede7b2b6d0ee49eff10feaf60b30da3b5,2019-06-21T10:13:27Z,Complete data collection notebook
192858007,05445ec777996255007a745dc93e76aeada2aef9,2019-06-20T12:40:44Z,Add notebook to explore the GitHub API
192858007,f712ad3f43b9ebf54bba076a3444ba12d676c5e7,2019-06-20T05:59:35Z,Initial commit
169992081,dbd27c35db3a128f7f87a2d1b8200f1f14e4affb,2019-02-12T14:04:32Z,Move all imports into one place
169992081,38d77b8053d168e9838a16c45cbca4a36eee4ffa,2019-02-12T02:27:51Z,Add feature scaling and model prediction
169992081,a4e0bbf32b3b67b3516716055573b47846fd9f5d,2019-02-10T16:00:06Z,Import libraries and dataset
169992081,c0b430cc032d53a0bfa0b3dd9d076112458c81c0,2019-02-10T15:21:49Z,Initial commit
169389821,58a07a07b6e68a40a728e8e1e0ec49d1a3cf95bd,2019-02-06T14:54:58Z,Make text changes
